parroquia,nom_par
080263,SAN JOSÉ DE CAYAPAS
080652,SÚA
111550,QUILANGA
180153,AUGUSTO N. MARTÍNEZ
071359,SALVIAS
060258,SEVILLA
170158,CHAVEZPAMBA
111552,SAN ANTONIO DE LAS ARADAS
180753,COTALÓ
180451,PINGUILÍ
111252,TACAMOROS
210651,SANTA ROSA DE SUCUMBÍOS
220455,SAN VICENTE DE HUATICOCHA
141050,LOGROÑO
010452,EL PROGRESO
010154,CHECA
131753,ATAHUALPA
040650,HUACA
040352,LA LIBERTAD
170162,GUANGOPOLO
